date,vix
31-01-2022,21.9525
28-01-2022,20.695
27-01-2022,21.065
25-01-2022,21.3575
24-01-2022,22.825
21-01-2022,18.8875
20-01-2022,17.79
19-01-2022,17.8175
18-01-2022,17.78
17-01-2022,16.765
14-01-2022,16.555
13-01-2022,16.705
12-01-2022,17.1825
11-01-2022,17.7575
10-01-2022,17.6775
07-01-2022,17.6025
06-01-2022,17.9775
05-01-2022,17.2275
04-01-2022,16.12
03-01-2022,16.4525
11-12-2021,15.22000027
10-12-2021,15.85000038
08-12-2021,12.36999989
07-12-2021,12.98999977
05-12-2021,20.07999992
04-12-2021,23.0
03-12-2021,21.70999908
02-12-2021,22.04000092
01-12-2021,22.85000038
11-11-2021,16.35000038
10-11-2021,16.09000015
08-11-2021,12.71000004
06-11-2021,14.10000038
02-11-2021,23.04999924
01-11-2021,22.37999916
12-10-2021,16.05999947
11-10-2021,16.30999947
08-10-2021,12.71000004
06-10-2021,15.0
05-10-2021,20.22999954
03-10-2021,20.75
02-10-2021,23.95000076
12-09-2021,16.60000038
11-09-2021,16.0
09-09-2021,13.93999958
08-09-2021,12.60999966
07-09-2021,12.93999958
06-09-2021,14.75
04-09-2021,19.79000092
03-09-2021,22.5
02-09-2021,24.27000046
12-08-2021,17.27000046
11-08-2021,16.34000015
10-08-2021,15.64999962
09-08-2021,14.40999985
07-08-2021,13.56000042
06-08-2021,15.22999954
04-08-2021,20.30999947
03-08-2021,24.68000031
02-08-2021,23.95999908
01-08-2021,20.63999939
12-07-2021,18.45999908
10-07-2021,16.15999985
09-07-2021,14.89999962
07-07-2021,12.21000004
06-07-2021,15.56999969
05-07-2021,20.81999969
04-07-2021,20.25
01-07-2021,20.62000084
12-06-2021,20.07999992
10-06-2021,17.32999992
09-06-2021,15.10999966
08-06-2021,12.60999966
07-06-2021,12.27999973
05-06-2021,22.04000092
04-06-2021,20.84000015
01-06-2021,21.0
10-05-2021,16.39999962
08-05-2021,12.86999989
04-05-2021,21.21999931
03-05-2021,25.55999947
02-05-2021,23.42000008
01-05-2021,20.45999908
11-04-2021,15.75
10-04-2021,16.73999977
08-04-2021,13.21000004
06-04-2021,15.93999958
05-04-2021,23.01000023
03-04-2021,24.14999962
02-04-2021,23.12000084
01-04-2021,20.03000069
12-03-2021,18.45000076
11-03-2021,16.12999916
09-03-2021,14.53999996
08-03-2021,13.75
06-03-2021,15.75
05-03-2021,23.69000053
03-03-2021,22.09000015
02-03-2021,23.75
12-02-2021,18.09000015
11-02-2021,17.05999947
09-02-2021,14.23999977
08-02-2021,12.81000042
07-02-2021,12.09000015
06-02-2021,17.20999908
03-02-2021,23.61000061
02-02-2021,23.35000038
12-01-2021,19.45000076
11-01-2021,17.23999977
10-01-2021,17.20999908
09-01-2021,14.18999958
07-01-2021,12.84000015
06-01-2021,17.38999939
04-01-2021,19.98999977
03-01-2021,25.62999916
02-01-2021,23.31999969
31-12-2020,21.095
30-12-2020,21.11
29-12-2020,20.79
28-12-2020,20.4275
24-12-2020,19.9675
23-12-2020,20.495
22-12-2020,21.985
21-12-2020,23.19
18-12-2020,18.6225
17-12-2020,19.1575
16-12-2020,19.2
15-12-2020,19.345
14-12-2020,19.4025
11-12-2020,18.79
10-12-2020,18.7125
09-12-2020,18.92
08-12-2020,18.6175
07-12-2020,18.025
04-12-2020,18.0275
03-12-2020,19.0
02-12-2020,19.9075
01-12-2020,20.1825
27-11-2020,19.8175
26-11-2020,20.0225
25-11-2020,23.1275
24-11-2020,21.0575
23-11-2020,20.7975
20-11-2020,19.6175
19-11-2020,19.57
18-11-2020,19.12
17-11-2020,19.8025
14-11-2020,19.13
13-11-2020,19.7025
12-11-2020,20.62
11-11-2020,22.0325
10-11-2020,21.5775
09-11-2020,20.1125
06-11-2020,20.4975
05-11-2020,20.965
04-11-2020,23.2
03-11-2020,24.24
02-11-2020,25.21
30-10-2020,24.7525
29-10-2020,24.0225
28-10-2020,23.28
27-10-2020,22.195
26-10-2020,22.8325
23-10-2020,21.8275
22-10-2020,22.635
21-10-2020,22.915
20-10-2020,22.69
19-10-2020,21.8175
16-10-2020,21.645
15-10-2020,22.0575
14-10-2020,20.21
13-10-2020,20.715
12-10-2020,21.1275
09-10-2020,20.38
08-10-2020,20.38
07-10-2020,20.06
06-10-2020,19.635
05-10-2020,19.705
01-10-2020,18.35
