Index Name,Date,Open,High,Low,Close,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales,vix
NIFTY 50,2018-06-27,10785.5,10785.5,10652.4,10671.4,5646.56,5579.12,67.44,3572.3,3487.99,84.31,13.51000023
NIFTY 50,2018-06-26,10742.7,10805.25,10732.55,10769.15,4820.6,5359.0,-538.4,3487.96,3249.91,238.05,12.80000019
NIFTY 50,2018-06-25,10822.9,10831.05,10753.05,10762.45,4150.72,3952.04,198.68,2867.35,2953.57,-86.22,12.57999992
NIFTY 50,2018-06-22,10742.7,10837.0,10710.45,10821.85,5105.25,6448.69,-1343.44,3955.86,2850.1,1105.76,12.02000046
NIFTY 50,2018-06-21,10808.45,10809.6,10725.9,10741.1,6385.35,5258.6,1126.75,3398.8,2735.23,663.57,12.44999981
NIFTY 50,2018-06-20,10734.65,10781.8,10724.05,10772.05,3898.97,6341.58,-2442.61,3487.82,2014.17,1473.65,12.17000008
NIFTY 50,2018-06-19,10789.45,10789.45,10701.2,10710.45,4416.11,5741.03,-1324.92,3327.68,2674.0,653.68,12.92000008
NIFTY 50,2018-06-18,10830.2,10830.2,10787.35,10799.85,3216.91,3971.34,-754.43,2970.15,2146.05,824.1,12.38000011
NIFTY 50,2018-06-15,10808.65,10834.0,10755.4,10817.7,9785.23,11309.97,-1524.74,4396.02,3835.01,561.01,12.06999969
NIFTY 50,2018-06-14,10832.9,10833.7,10773.55,10808.05,4320.09,5692.93,-1372.84,3132.59,2556.4,576.19,12.10000038
NIFTY 50,2018-06-13,10887.5,10893.25,10842.65,10856.7,4765.75,4836.52,-70.77,4093.19,3606.41,486.78,12.64000034
NIFTY 50,2018-06-12,10816.15,10856.55,10789.4,10842.85,4243.13,5412.01,-1168.88,4286.05,2958.6,1327.45,12.72999954
NIFTY 50,2018-06-11,10781.85,10850.55,10777.05,10786.95,4017.16,5173.93,-1156.77,4192.89,3130.07,1062.82,13.18000031
NIFTY 50,2018-06-08,10736.4,10779.45,10709.05,10767.65,4875.04,5097.54,-222.5,3464.66,3005.22,459.44,12.69999981
NIFTY 50,2018-06-07,10722.6,10818.0,10722.6,10768.35,3619.64,4145.04,-525.4,4110.87,2912.98,1197.89,12.77999973
NIFTY 50,2018-06-06,10603.45,10698.35,10587.5,10684.65,4024.34,4105.74,-81.4,3650.73,2938.42,712.31,12.55000019
NIFTY 50,2018-06-05,10630.7,10633.15,10550.9,10593.15,4739.58,4897.09,-157.51,3221.39,2747.06,474.33,13.31999969
NIFTY 50,2018-06-04,10765.95,10770.3,10618.35,10628.5,8939.86,6585.83,2354.03,3071.28,3783.69,-712.41,13.88000011
NIFTY 50,2018-06-01,10738.45,10764.75,10681.5,10696.2,4460.24,4663.04,-202.8,3434.78,3096.81,337.97,13.56999969
NIFTY 50,2018-05-31,10670.1,10763.8,10620.4,10736.15,,,,,,,13.22000027
NIFTY 50,2018-05-30,10579.0,10648.7,10558.45,10614.35,5273.96,6560.87,-1286.91,3518.65,3026.19,492.46,13.40999985
NIFTY 50,2018-05-29,10689.4,10717.25,10616.1,10633.3,3672.67,4080.0,-407.33,3559.45,2981.07,578.38,13.06999969
NIFTY 50,2018-05-28,10648.35,10709.8,10640.55,10688.65,3678.86,4473.92,-795.06,3958.98,2941.33,1017.65,13.06000042
NIFTY 50,2018-05-25,10533.05,10628.05,10524.0,10605.15,4614.27,5382.56,-768.29,3512.46,2624.7,887.76,12.64999962
NIFTY 50,2018-05-24,10464.85,10535.15,10419.8,10513.85,4376.04,5077.97,-701.93,4265.29,2784.78,1480.51,13.14999962
