Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
27-02-2024,16400.68,17909.84,-1509.16,11803.41,8941.85,2861.56
26-02-2024,12525.31,12810.46,-285.15,8526.82,8532.15,-5.33
23-02-2024,15746.64,14470.55,1276.09,8556.28,8379.6,176.68
22-02-2024,14376.57,15786.62,-1410.05,10473.09,8649.41,1823.68
21-02-2024,17080.67,16796.01,284.66,10151.65,10563.22,-411.57
20-02-2024,14870.68,16206.19,-1335.51,10665.07,9173.74,1491.33
19-02-2024,10167.95,10922.54,-754.59,8081.14,7628.44,452.7
16-02-2024,13802.04,13548.76,253.28,12165.87,10594.87,1571
15-02-2024,13657.88,16722.03,-3064.15,11891.94,9615.01,2276.93
14-02-2024,18323.11,22252.71,-3929.6,12110.28,9212.3,2897.98
13-02-2024,13404.37,13028.05,376.32,9167.73,8893.79,273.94
12-02-2024,9156.97,9030.37,126.6,11183.9,9472.15,1711.75
09-02-2024,13946.46,13804.51,141.95,12090.82,12512.69,-421.87
08-02-2024,16248.71,21182.49,-4933.78,17291.78,11779.46,5512.32
07-02-2024,14534.64,16225.66,-1691.02,12012.32,11684.59,327.73
06-02-2024,16944.43,16851.91,92.52,13822.11,12725.85,1096.26
05-02-2024,14276.22,13757.34,518.88,11869.08,13057.76,-1188.68
02-02-2024,15476.31,15405.62,70.69,14097.58,11634.42,2463.16
01-02-2024,19287.92,21167.5,-1879.58,12991.07,12118.58,872.49
30-01-2024,14275.7,16246.22,-1970.52,12666.88,11664.18,1002.7
29-01-2024,19030.42,18920.41,110.01,14592.44,11371.1,3221.34
25-01-2024,34280.27,36424.33,-2144.06,12353.83,8878.94,3474.89
24-01-2024,27230.93,34165.86,-6934.93,15493.23,9480.56,6012.67
23-01-2024,26390.61,29506,-3115.39,14853.87,14639.47,214.4
20-01-2024,305.58,851.16,-545.58,3467.93,4187.24,-719.31
19-01-2024,18644.52,22334.2,-3689.68,12777.33,10138.87,2638.46
18-01-2024,14934.98,24836.54,-9901.56,15637.89,9660.77,5977.12
17-01-2024,17317.91,27896.04,-10578.13,15188.62,11182.18,4006.44
16-01-2024,12212.14,11555.57,656.57,10126.53,10495.82,-369.29
15-01-2024,12196.34,11110.62,1085.72,10881.64,11702.33,-820.69
12-01-2024,11904.24,12244.29,-340.05,13152.89,10241.7,2911.19
11-01-2024,11619.68,12484.68,-865,12951.47,11344.39,1607.08
10-01-2024,9621.87,11343.22,-1721.35,10461.84,8381.83,2080.01
09-01-2024,10035.26,11026.16,-990.9,10472.02,10367.79,104.23
08-01-2024,10246.47,10230.44,16.03,9837.48,9681.52,155.96
05-01-2024,12677.19,10980.33,1696.86,9796.37,13293.99,-3497.62
04-01-2024,14864.83,13351.42,1513.41,12011.99,13399.35,-1387.36
