Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
04-Apr-16,"2,948.11","2,711.29",236.82,"1,311.55","1,645.29",-333.74
01-Apr-16,"3,725.52","3,511.51",214.01,"1,159.75","1,679.66",-519.91
31-Mar-16,"11,230.72","7,174.10","4,056.62","3,473.08","6,363.65","-2,890.57"
30-Mar-16,"5,866.32","4,423.85","1,442.47","1,907.34","2,304.24",-396.9
29-Mar-16,"4,577.65","4,064.20",513.45,"1,834.08","2,390.77",-556.69
28-Mar-16,"5,346.52","3,303.58","2,042.94","1,408.82","3,903.26","-2,494.44"
23-Mar-16,"3,923.97","2,947.06",976.91,"1,596.53","2,619.11","-1,022.58"
22-Mar-16,"4,945.28","3,849.84","1,095.44","1,167.84","2,098.21",-930.37
21-Mar-16,"4,791.88","3,395.55","1,396.33","1,497.69","2,116.46",-618.77
18-Mar-16,"7,132.64","5,420.02","1,712.62","1,570.77","1,974.14",-403.37
17-Mar-16,"4,997.97","4,253.48",744.49,"1,945.25","2,113.63",-168.38
16-Mar-16,"3,675.19","3,049.61",625.58,"1,031.87","1,712.03",-680.16
15-Mar-16,"3,789.67","3,843.68",-54.01,"1,512.28","1,814.59",-302.31
14-Mar-16,"5,564.95","4,529.32","1,035.63","1,076.66","1,882.00",-805.34
11-Mar-16,"3,499.01","3,120.65",378.36,"1,163.15","1,595.96",-432.81
10-Mar-16,"4,727.42","3,664.31","1,063.11",952.06,"1,550.09",-598.03
09-Mar-16,"4,868.19","4,405.33",462.86,"1,170.71","1,994.27",-823.56
08-Mar-16,"7,088.18","6,313.11",775.07,800.77,"2,142.28","-1,341.51"
04-Mar-16,"4,231.60","3,560.03",671.57,"1,393.43","1,926.53",-533.1
03-Mar-16,"4,363.82","3,451.84",911.98,"1,845.35","2,310.10",-464.75
02-Mar-16,"5,877.60","4,440.10","1,437.50","2,024.92","2,618.59",-593.67
01-Mar-16,"7,504.37","4,591.78","2,912.59","2,203.55","3,038.14",-834.59
26-Feb-16,"2,807.45","3,502.82",-695.37,"2,043.48","1,259.34",784.14
25-Feb-16,"4,959.80","6,425.48","-1,465.68","2,569.20","1,762.23",806.97
24-Feb-16,"2,953.79","3,684.78",-730.99,"1,484.16",878.28,605.88
23-Feb-16,"3,356.14","3,645.80",-289.66,"1,385.32","1,127.39",257.93
22-Feb-16,"2,617.38","3,274.31",-656.93,"1,377.85",779.98,597.87
19-Feb-16,"2,772.85","2,964.58",-191.73,881.27,864.74,16.53
18-Feb-16,"4,096.46","3,677.82",418.64,"1,663.25",951.13,712.12
17-Feb-16,"3,029.01","3,589.01",-560,"1,511.72","1,127.19",384.53
16-Feb-16,"2,898.07","3,862.26",-964.19,"1,525.18",934.45,590.73
15-Feb-16,"3,661.07","4,972.66","-1,311.59","3,223.71","1,236.26","1,987.45"
12-Feb-16,"4,689.99","5,088.36",-398.37,"2,916.73","2,371.66",545.07
11-Feb-16,"2,976.24","4,088.90","-1,112.66","2,953.99","1,731.87","1,222.12"
10-Feb-16,"3,632.66","4,383.99",-751.33,"2,106.71","1,909.79",196.92
09-Feb-16,"1,990.00","2,670.70",-680.7,"1,634.92","1,809.06",-174.14
08-Feb-16,"1,853.26","1,937.82",-84.56,"1,531.24","1,251.75",279.49
05-Feb-16,"3,051.02","3,657.85",-606.83,"2,518.01","1,757.99",760.02
04-Feb-16,"3,121.98","3,317.90",-195.92,"2,040.07","1,563.63",476.44
03-Feb-16,"3,160.51","3,517.64",-357.13,"1,455.23","1,600.01",-144.78
02-Feb-16,"4,102.58","4,216.56",-113.98,"1,346.11","1,669.34",-323.23
01-Feb-16,"4,211.32","3,957.44",253.88,"1,104.50","1,640.20",-535.7
29-Jan-16,"5,632.66","5,060.96",571.7,"2,121.61","1,881.59",240.02
28-Jan-16,"5,889.83","6,851.65",-961.82,"2,872.07","2,477.85",394.22
27-Jan-16,"4,355.00","4,721.93",-366.93,"1,583.49","1,083.50",499.99
25-Jan-16,"3,261.63","3,352.78",-91.15,"1,272.53",964.64,307.89
22-Jan-16,"3,920.30","4,690.13",-769.83,"2,310.90","1,395.30",915.6
21-Jan-16,"4,042.16","5,789.39","-1,747.23","2,544.12","1,276.38","1,267.74"
20-Jan-16,"3,854.92","5,179.61","-1,324.69","2,882.52","1,499.38","1,383.14"
19-Jan-16,"2,695.97","3,553.67",-857.7,"2,691.27","1,304.44","1,386.83"
18-Jan-16,"3,140.59","4,344.43","-1,203.84","2,667.92","1,545.12","1,122.80"
15-Jan-16,"3,172.68","4,296.47","-1,123.79","2,320.25","1,631.41",688.84
14-Jan-16,"3,096.69","4,318.66","-1,221.97","3,281.53","1,755.31","1,526.22"
13-Jan-16,"4,316.56","4,392.46",-75.9,"2,503.24","1,884.45",618.79
12-Jan-16,"3,090.47","3,631.46",-540.99,"1,860.65","1,719.40",141.25
11-Jan-16,"3,157.82","4,477.06","-1,319.24","1,848.47",947.48,900.99
08-Jan-16,"3,802.86","5,039.81","-1,236.95","2,200.62","1,196.63","1,003.99"
07-Jan-16,"3,610.14","4,661.88","-1,051.74","2,237.52","2,046.66",190.86
06-Jan-16,"4,452.42","4,694.90",-242.48,"2,091.12","1,514.55",576.57
05-Jan-16,"3,361.38","3,713.80",-352.42,"1,631.28","1,618.09",13.19
04-Jan-16,"2,097.07","2,764.22",-667.15,"1,371.47","1,594.26",-222.79
01-Jan-16,540.77,312.66,228.11,783.36,864.6,-81.24
30-Dec-15,"2,088.07","1,935.87",152.2,"1,414.35","1,488.76",-74.41
29-Dec-15,"2,278.39","2,269.90",8.49,"1,473.43","1,466.99",6.44
28-Dec-15,"1,900.63","2,203.25",-302.62,"2,446.49","1,458.67",987.82
24-Dec-15,"1,181.13","1,293.16",-112.03,842,833.95,8.05
